"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88120","LA CROIX AUX MINES","88520","LA CROIX AUX MINES",,"48.20368848957655,7.067489303362146","48.20368848957655","7.067489303362146"
"88121","DAMAS AUX BOIS","88330","DAMAS AUX BOIS",,"48.384280068084486,6.403092713004796","48.384280068084486","6.403092713004796"
"88122","DAMAS ET BETTEGNEY","88270","DAMAS ET BETTEGNEY",,"48.21201177462203,6.264232942067066","48.21201177462203","6.264232942067066"
"88123","DAMBLAIN","88320","DAMBLAIN",,"48.0891468279962,5.668458603080674","48.0891468279962","5.668458603080674"
"88124","DARNEY","88260","DARNEY",,"48.07988804521268,6.055632353059879","48.07988804521268","6.055632353059879"
"88125","DARNEY AUX CHENES","88170","DARNEY AUX CHENES",,"48.283158294162824,5.8100712846463995","48.283158294162824","5.8100712846463995"
"88126","DARNIEULLES","88390","DARNIEULLES",,"48.1979894017784,6.335578658615464","48.1979894017784","6.335578658615464"
"88127","DEINVILLERS","88700","DEINVILLERS",,"48.413653043458424,6.562833198032964","48.413653043458424","6.562833198032964"
"88128","DENIPAIRE","88210","DENIPAIRE",,"48.34018213168794,6.959428699956465","48.34018213168794","6.959428699956465"
"88129","DERBAMONT","88270","DERBAMONT",,"48.26553447411726,6.2734527879967334","48.26553447411726","6.2734527879967334"
"88130","DESTORD","88600","DESTORD",,"48.27349076918355,6.620937350201319","48.27349076918355","6.620937350201319"
"88131","DEYCIMONT","88600","DEYCIMONT",,"48.17446303115248,6.642227895340586","48.17446303115248","6.642227895340586"
"88132","DEYVILLERS","88000","DEYVILLERS",,"48.197466367663694,6.528260781265672","48.197466367663694","6.528260781265672"
"88133","DIGNONVILLE","88000","DIGNONVILLE",,"48.24138739981038,6.500187904775771","48.24138739981038","6.500187904775771"
"88134","DINOZE","88000","DINOZE",,"48.138267674567416,6.485202753722197","48.138267674567416","6.485202753722197"
"88135","DOCELLES","88460","DOCELLES",,"48.13880754329314,6.625387857655525","48.13880754329314","6.625387857655525"
"88136","DOGNEVILLE","88000","DOGNEVILLE",,"48.219819402304864,6.4666570926094735","48.219819402304864","6.4666570926094735"
"88137","DOLAINCOURT","88170","DOLAINCOURT",,"48.34050570379077,5.808545402574472","48.34050570379077","5.808545402574472"
"88138","DOMBASLE DEVANT DARNEY","88260","DOMBASLE DEVANT DARNEY",,"48.127935853365514,6.075200140048738","48.127935853365514","6.075200140048738"
"88139","DOMBASLE EN XAINTOIS","88500","DOMBASLE EN XAINTOIS",,"48.303556034667075,5.995241881649244","48.303556034667075","5.995241881649244"
"88140","DOMBROT LE SEC","88140","DOMBROT LE SEC",,"48.14515422574769,5.8977853511138445","48.14515422574769","5.8977853511138445"
"88141","DOMBROT SUR VAIR","88170","DOMBROT SUR VAIR",,"48.26592955569327,5.900709184655991","48.26592955569327","5.900709184655991"
"88142","DOMEVRE SUR AVIERE","88390","DOMEVRE SUR AVIERE",,"48.224193854768366,6.389979757745024","48.224193854768366","6.389979757745024"
"88143","DOMEVRE SUR DURBION","88330","DOMEVRE SUR DURBION",,"48.28708540321912,6.488578368017681","48.28708540321912","6.488578368017681"
"88144","DOMEVRE SOUS MONTFORT","88500","DOMEVRE SOUS MONTFORT",,"48.25811745145694,6.072116044564966","48.25811745145694","6.072116044564966"
"88145","DOMFAING","88600","DOMFAING",,"48.244025251740034,6.753369683117284","48.244025251740034","6.753369683117284"
"88146","DOMJULIEN","88800","DOMJULIEN",,"48.25686225755582,5.999251052981283","48.25686225755582","5.999251052981283"
"88146","DOMJULIEN","88800","DOMJULIEN","GIROVILLERS SOUS MONTFORT","48.25686225755582,5.999251052981283","48.25686225755582","5.999251052981283"
"88147","DOMMARTIN AUX BOIS","88390","DOMMARTIN AUX BOIS",,"48.14851208763548,6.2916782689729125","48.14851208763548","6.2916782689729125"
