"N°Stock Mouvement","Date Mouvement","Nature Mouvement","Quantité Mouvement"
222,2014-12-29,2,60000.00
223,2014-12-29,2,250000.00
224,2014-12-29,2,200.00
226,2014-12-29,2,450.00
227,2014-12-29,2,400000.00
230,2014-12-29,2,15000.00
231,2014-12-29,2,1.00
232,2014-12-29,2,250.00
234,2014-12-29,2,300.00
235,2014-12-29,2,250.00
170,2014-12-29,2,10000.00
176,2014-12-29,2,250.00
177,2014-12-29,2,100.00
179,2014-12-29,2,20000.00
181,2014-12-29,2,150000.00
182,2014-12-29,2,92000.00
183,2014-12-29,2,102000.00
184,2014-12-29,2,250.00
185,2014-12-29,2,200.00
187,2014-12-29,2,50.00
237,2014-12-29,2,19.00
241,2014-12-29,2,20000.00
242,2014-12-29,2,10000.00
243,2014-12-29,2,1960.00
245,2014-12-29,2,5000.00
246,2014-12-29,2,2500.00
247,2014-12-29,2,5000.00
248,2014-12-29,2,5000.00
249,2014-12-29,2,3000.00
250,2014-12-29,2,6.00
251,2014-12-29,2,950000.00
253,2014-12-29,2,75000.00
256,2014-12-29,2,20.00
257,2014-08-04,2,20.00
258,2014-12-29,2,280.00
262,2014-12-29,2,1000.00
263,2014-12-29,2,1300.00
264,2014-12-29,2,5.00
265,2014-12-29,2,10000.00
267,2014-12-29,2,13000.00
268,2014-12-29,2,5000.00
270,2014-12-29,2,75000.00
271,2014-12-29,2,260.00
272,2014-12-29,2,6.00
274,2014-12-29,2,1.50
275,2014-12-29,2,7500.00
276,2014-12-29,2,300.00
278,2014-12-29,2,15000.00
279,2014-12-29,2,49.00
281,2014-12-29,2,8000.00
282,2014-12-29,2,305.00
283,2014-12-29,2,150.00
284,2014-12-29,2,250.00
285,2014-12-29,2,250.00
286,2014-12-29,2,249.00
401,2015-01-15,1,10.00
402,2015-01-15,1,24.00
403,2015-01-15,1,26.00
404,2015-01-15,1,52.00
405,2015-01-13,1,8.00
406,2015-01-15,1,26.00
407,2015-01-15,1,40.00
376,2014-12-17,2,10.00
408,2015-01-15,1,24.00
409,2015-01-13,1,24.00
410,2015-01-15,1,8.00
411,2015-01-15,1,30.00
412,2015-01-13,1,60.00
413,2015-01-15,1,21.00
414,2015-01-15,1,4.00
415,2015-01-15,1,18.00
416,2015-01-15,1,11.00
417,2015-01-15,1,24.00
418,2015-01-15,1,10.00
419,2015-01-22,1,2.00
420,2015-01-22,1,2.40
421,2015-01-22,1,19.90
422,2015-01-22,1,14.40
423,2015-01-22,1,19.90
424,2015-01-22,1,18.80
425,2015-01-22,1,16.90
426,2015-01-22,1,13.95
427,2015-01-22,1,2.00
428,2015-01-22,1,2.40
429,2015-01-22,1,14.40
430,2015-01-22,1,19.90
431,2015-01-22,1,18.80
432,2015-01-18,1,10000.00
456,2015-02-01,1,5000.00
457,2015-02-20,1,80.00
458,2015-01-18,1,7.00
459,2015-01-18,1,500000.00
460,2015-01-18,1,600.00
461,2015-02-19,1,75.00
462,2015-02-20,1,100.00
463,2015-01-18,1,5.00
464,2015-01-18,1,300.00
465,2015-02-19,1,100.00
466,2015-01-18,1,300.00
467,2015-02-20,1,100.00
468,2015-01-18,1,20.00
469,2015-01-18,1,60000.00
470,2015-01-18,1,2600.00
471,2015-01-18,1,5000.00
472,2015-01-18,1,5000.00
473,2015-02-20,1,10000.00
474,2015-02-20,1,25000.00
475,2015-02-19,1,50000.00
476,2015-02-20,1,150.00
477,2015-02-20,1,50.00
478,2015-01-18,1,300.00
433,2015-01-18,1,800000.00
434,2015-01-18,1,300.00
435,2015-02-01,1,300.00
436,2015-02-23,1,20.00
437,2015-01-18,1,100000.00
438,2015-01-18,1,250.00
439,2015-01-18,1,250.00
440,2015-02-20,1,15000.00
441,2015-02-01,1,10.00
442,2015-01-18,1,15.00
443,2015-02-01,1,3000.00
444,2015-02-01,1,4000.00
445,2015-01-18,1,150.00
446,2015-01-18,1,1500.00
447,2015-02-20,1,7.00
448,2015-02-20,1,2.00
449,2015-01-18,1,2600.00
450,2015-01-18,1,30000.00
451,2015-01-18,1,7500.00
452,2015-02-01,1,5000.00
453,2015-01-18,1,7000.00
454,2015-01-18,1,80.00
455,2015-01-18,1,100.00
479,2015-02-01,1,7.00
480,2015-01-18,1,5000.00
481,2015-01-18,1,1600.00
482,2015-02-01,1,10.00
483,2015-01-18,1,10000.00
484,2015-02-19,1,50.00
485,2015-01-18,1,4.00
486,2015-01-18,1,15000.00
487,2015-02-20,1,50.00
488,2015-02-19,1,500.00
489,2015-01-18,1,250.00
490,2015-01-18,1,100.00
491,2015-01-18,1,300.00
492,2015-01-18,1,250.00
493,2015-02-19,1,250.00
494,2015-02-19,1,50.00
495,2015-01-18,1,400.00
496,2015-01-18,1,1000.00
497,2015-02-20,1,5.00
498,2015-01-18,1,300.00
499,2015-02-19,1,100.00
500,2015-02-19,1,150.00
501,2015-02-20,1,50.00
502,2015-02-19,1,7.00
503,2015-01-18,1,150.00
504,2015-02-20,1,50.00
505,2015-02-20,1,250.00
506,2015-02-20,1,50.00
507,2015-02-20,1,200.00
508,2015-02-20,1,150.00
509,2015-02-20,1,1000.00
510,2015-02-20,1,500.00
511,2015-02-23,1,100.00
512,2015-02-23,1,150000.00
513,2015-02-23,1,5000.00
514,2014-12-15,1,1.00
515,2014-11-29,1,1.00
516,2015-01-18,1,5000.00
549,2015-03-10,1,35.71
550,2015-03-12,1,28.88
551,2015-03-12,1,4.20
552,2015-03-12,1,4.20
553,2015-03-03,1,2.85
554,2015-02-24,1,2.60
555,2015-02-24,1,2.60
556,2015-02-24,1,2.60
557,2015-03-12,1,18.90
558,2015-02-24,1,8.50
559,2015-03-12,1,18.90
560,2015-03-12,1,2.10
561,2015-03-12,1,2.10
562,2015-03-03,1,6.60
563,2015-02-24,1,1.00
564,2015-02-24,1,1.00
565,2015-02-24,1,1.00
566,2015-02-26,1,8.10
567,2015-03-10,1,37.61
568,2015-02-24,1,2.50
569,2015-03-12,1,25.13
570,2015-02-26,1,8.45
571,2015-03-12,1,31.50
572,2015-03-12,1,31.50
573,2015-03-12,1,18.90
574,2015-03-12,1,18.90
575,2015-02-24,1,16.00
576,2015-02-24,1,16.00
577,2015-02-24,1,16.00
578,2015-02-26,1,29.00
579,2015-02-24,1,39.00
580,2015-03-12,1,37.80
581,2015-03-12,1,37.80
582,2015-03-03,1,12.31
583,2015-03-03,1,12.31
584,2015-03-10,1,26.43
585,2015-03-12,1,15.81
586,2015-03-12,1,8.40
587,2015-03-12,1,8.40
588,2015-03-12,1,13.65
589,2015-03-12,1,13.65
590,2015-03-12,1,27.30
591,2015-03-12,1,27.30
592,2015-03-12,1,13.65
593,2015-03-12,1,13.65
594,2015-03-03,1,19.85
595,2015-02-24,1,12.00
596,2015-02-24,1,12.00
597,2015-02-24,1,12.00
598,2015-02-26,1,43.65
599,2015-03-12,1,8.40
600,2015-02-24,1,31.40
601,2015-03-12,1,8.40
602,2015-03-12,1,8.40
603,2015-03-12,1,8.40
604,2015-03-12,1,12.60
605,2015-03-12,1,12.60
606,2015-03-12,1,29.40
607,2015-03-12,1,29.40
608,2015-03-10,1,99.75
609,2015-03-12,1,60.69
610,2015-02-19,1,10.00
611,2015-03-10,1,39.90
612,2015-03-12,1,31.50
613,2015-02-24,1,5.40
614,2015-02-24,1,5.40
615,2015-02-24,1,5.40
616,2015-02-26,1,18.20
617,2015-03-10,1,41.37
618,2015-03-12,1,30.87
619,2015-02-24,1,13.30
620,2015-03-03,1,8.50
621,2015-03-03,1,2.85
622,2015-02-24,1,2.60
623,2015-02-24,1,2.60
624,2015-02-24,1,2.60
625,2015-03-12,1,18.90
626,2015-02-24,1,8.50
627,2015-03-12,1,18.90
628,2015-03-12,1,2.10
629,2015-03-12,1,2.10
630,2015-03-03,1,6.60
631,2015-02-24,1,1.00
632,2015-02-24,1,1.00
633,2015-02-24,1,1.00
634,2015-02-26,1,8.10
635,2015-03-10,1,37.61
636,2015-02-24,1,2.50
637,2015-03-12,1,25.13
638,2015-02-24,1,16.00
639,2015-02-24,1,16.00
640,2015-02-24,1,16.00
641,2015-02-26,1,29.00
642,2015-02-24,1,39.00
643,2015-03-12,1,12.60
644,2015-03-12,1,12.60
645,2015-02-24,1,9.20
646,2015-02-24,1,9.20
647,2015-02-24,1,9.20
648,2015-02-26,1,16.50
649,2015-02-24,1,22.70
650,2015-03-10,1,78.54
651,2015-03-12,1,37.38
652,2015-03-10,1,63.84
653,2015-03-12,1,38.22
654,2015-03-12,1,4.20
655,2015-03-12,1,6.30
525,2015-01-18,1,6.00
526,2015-01-18,1,5.00
527,2015-01-18,1,10000.00
528,2015-02-19,1,10.00
529,2015-03-10,1,39.90
530,2015-03-12,1,31.50
531,2015-02-24,1,5.40
532,2015-02-24,1,5.40
533,2015-02-24,1,5.40
534,2015-02-26,1,18.20
535,2015-03-10,1,41.37
536,2015-03-12,1,30.87
537,2015-02-24,1,13.30
538,2015-03-03,1,8.50
539,2015-03-10,1,109.30
540,2015-03-12,1,89.35
541,2015-03-03,1,16.20
542,2015-02-24,1,10.70
543,2015-02-24,1,10.70
544,2015-02-24,1,10.70
545,2015-02-26,1,36.00
546,2015-02-24,1,26.70
547,2015-02-24,1,2.86
548,2015-02-26,1,9.54
517,2015-01-18,1,150000.00
518,2015-01-18,1,84000.00
519,2015-01-18,1,150.00
520,2015-01-18,1,7500.00
521,2015-01-18,1,5000.00
522,2015-01-18,1,200.00
523,2015-01-18,1,4000.00
524,2015-01-18,1,2500.00
656,2015-02-01,1,20.00
657,2015-02-01,1,80.00
658,2015-03-08,1,150.00
659,2015-03-08,1,150.00
660,2015-03-06,1,2000.00
661,2015-03-08,1,150.00
662,2015-03-08,1,150.00
663,2015-03-08,1,150.00
664,2015-03-08,1,150.00
665,2015-03-08,1,150.00
666,2015-03-08,1,150.00
667,2015-03-17,1,24.00
668,2015-03-17,1,74.00
669,2015-03-17,1,24.00
670,2015-03-17,1,4.00
671,2015-03-17,1,60.00
672,2015-03-17,1,12.00
673,2015-03-17,1,70.00
674,2015-03-17,1,70.00
675,2015-03-17,1,24.00
676,2015-03-17,1,60.00
677,2015-03-17,1,12.00
678,2015-03-17,1,8.00
691,2015-03-24,1,30.00
