id,vegetal,action,materiel_id,stock,plan palette,memo,main oeuvre,rendement,nb graine,vegetal,semaine début,semaine fin,action,rendement,anticipation,hebdomadaire,actif,conversion,date mise à jour
309,211,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
310,212,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,25/11/2021 10:40:26
311,213,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
312,214,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
313,215,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
314,216,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
315,217,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
316,218,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
317,219,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
319,221,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
320,222,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
322,224,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
323,225,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
324,226,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
325,227,1,,23,,,1,,,,01,01,1.00,1.00,0.00,0,1,1.00,
326,228,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
327,229,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
328,231,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
329,232,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
330,233,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
331,235,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
332,236,1,,23,,,,,,,01,01,1.00,1.00,1.00,0,1,1.00,
333,237,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
334,238,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
335,239,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
336,241,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
338,243,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
339,244,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
340,245,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
341,246,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
342,247,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
343,248,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
344,249,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
345,250,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
346,251,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
347,252,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
348,253,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,2/10/2020 11:31:19
349,254,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
350,255,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
351,256,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
352,257,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
353,258,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
354,259,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
356,261,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
357,262,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
358,264,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
359,265,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
360,266,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
361,267,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
362,268,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
363,269,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
364,270,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
365,271,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
366,272,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
367,273,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
369,275,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
370,276,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
371,277,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
372,278,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
374,280,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
375,281,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
377,284,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
378,287,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
379,288,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
380,289,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
381,290,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,16/11/2021 08:48:05
383,292,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
384,293,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
385,294,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
386,296,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
387,297,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
