source,produit,densite
251,60,10
252,192,20
253,68,
253,547,150
254,50,
254,451,3
255,3,4
255,460,
256,709,
256,745,200
257,62,40
258,61,
258,130,4
259,34,
259,348,1
260,465,
261,2,
261,410,150
262,440,2400
263,58,18
264,87,
264,407,50
265,58,
265,455,3
266,13,
266,440,2600
267,34,
267,735,1
268,453,3
269,89,
270,58,
270,455,3
271,58,
271,455,3
272,58,
272,455,3
273,60,10
274,33,
274,437,1
275,9,54
276,42,
276,121,1
277,42,
277,121,1
278,18,
278,364,1
279,466,
280,42,
280,122,1
281,42,
281,122,1
282,25,
284,8,162
286,6,
286,433,1
287,112,1
288,407,250
288,1388,
289,1234,40
290,17,42
291,8,171
292,81,
292,441,5
293,48,160
293,127,3
294,452,5
294,468,
296,993,42
297,8,210
299,61,
299,130,3
300,34,
300,732,1
301,67,1
302,8,162
303,9,171
304,192,
305,79,50
306,78,42
307,77,42
308,709,
308,731,250
309,6,
309,433,1
310,67,40
312,51,
312,128,3
313,413,
313,434,4
314,41,
314,118,1
315,50,
315,451,4
316,86,
316,321,250
317,68,
317,408,150
318,283,1
318,461,4
319,47,24
319,436,5
320,34,
320,348,100
321,86,2.1
322,41,
322,118,1
323,53,
323,103,1
325,10,162
327,38,21
329,10,171
330,50,
330,451,4
331,34,
331,735,1
332,62,40
333,52,
334,59,
334,454,3
336,6,20
336,433,1
337,162,12
337,436,5
339,406,200
339,709,
341,74,4
342,102,1
342,285,
343,50,
343,451,4
344,34,
344,733,1
345,51,
345,128,3
346,49,
346,457,1
347,50,
347,451,3
348,34,
349,34,
349,736,100
350,162,12
351,62,40
352,11,1
353,68,
353,479,150
354,947,21
355,87,
355,872,250
356,34,
356,736,100
356,992,
357,50,
357,451,4
358,734,1
358,992,
359,87,
359,407,250
360,50,
360,451,3
361,50,
361,451,3
362,882,4
363,39,1
364,18,5
366,87,
366,480,250
367,36,
367,1006,5
368,22,5
368,110,1
369,63,
369,132,4
370,736,1
370,898,
371,409,150
372,111,1
373,5,
373,432,1
374,41,
374,118,1
375,900,26
375,1177,1
375,1347,
376,385,162
377,9,171
378,384,19.5
378,458,3
379,64,70
380,84,
381,69,4
383,74,4
388,18,
388,364,1
389,40,
389,117,3
390,162,12
393,392,
397,33,2
398,776,
399,396,
399,449,
401,400,
402,743,6.3
403,555,
404,777,
405,1253,
406,969,2
407,87,2
408,68,2
409,96,
410,2,2.09
411,80,
414,87,
414,407,100
415,18,
415,364,1
416,18,
416,364,1
417,20,
417,109,1
419,20,
419,109,1
420,22,
420,110,1
421,18,
421,364,1
422,24,
422,111,1
423,24,
424,24,
424,111,1
425,19,
425,107,1
426,68,
426,1251,150
427,19,
427,107,1
428,18,
428,364,1
429,87,
429,407,250
430,402,1
430,743,
431,35,
431,875,1
432,5,11
433,6,20
434,413,30
435,463,10
436,47,5
437,33,2
438,35,1.05
440,13,7.5
441,81,30
442,394,
443,142,30
444,65,20
446,25,6.25
447,51,30
448,32,30
449,396,
451,50,
452,468,
453,55,28
454,59,14
455,58,14
457,49,10
458,384,19.5
459,391,
461,777,
462,392,
479,68,2
480,87,2
496,82,
496,116,1
521,35,1
547,68,2
689,775,
726,68,2
727,969,2
728,969,2
729,969,2
730,87,
730,407,100
731,969,2
732,34,1
733,34,1
734,898,
735,34,
736,992,
737,739,150
737,822,
739,593,
740,86,
741,412,
743,402,6.3
744,1047,
745,969,2
750,751,
750,752,25
752,751,
753,40,
753,117,3
754,120,1
754,387,
755,4,
755,100,1
756,709,
756,1165,250
757,751,
757,752,1
758,521,1
758,751,
759,65,315
759,444,
760,49,
760,457,1
761,392,
762,392,
762,780,1
764,463,
764,778,
765,1060,
766,40,
766,117,3
772,140,250
772,709,
773,969,
778,1065,
779,392,
780,392,
813,102,1
813,285,
814,123,1
814,1078,
815,893,
822,739,1
825,40,
825,117,3
830,39,
830,1318,
844,65,1
847,392,
855,87,
855,407,250
864,87,
864,407,200
865,40,
865,117,3
867,87,
867,872,100
868,87,
868,871,50
869,873,50
869,969,
871,87,
872,87,2
873,969,2
874,5,10
875,35,1
876,60,66
877,47,24
877,436,5
878,47,5
881,24,
881,111,1
882,466,
888,20,
888,109,1
889,328,320
897,479,150
897,937,
899,900,
899,1177,1
899,1347,
901,25,
901,446,1
902,903,
904,93,
905,92,4
907,908,
909,433,1
909,1015,
910,912,
910,1129,1
913,911,
913,1130,1
914,937,
914,1019,150
915,35,1
915,438,1
916,731,250
917,33,
917,437,1
918,727,150
918,969,
919,192,20
919,436,5
920,55,
920,453,3
921,1128,100
922,328,320
923,386,171
924,446,1
924,1174,
925,8,45
926,773,200
926,969,
927,727,100
927,969,
928,102,1
928,285,
929,2,
929,410,150
930,87,
930,407,200
931,937,
931,1019,150
932,935,
932,1193,250
933,35,
933,438,1
934,26,
934,112,1
938,937,
938,1019,150
939,937,
939,1019,150
940,5,
940,432,1
941,835,
942,835,
943,835,
944,835,
946,947,
948,406,250
948,969,
949,950,
949,1334,3
952,47,
952,436,15
953,34,
953,348,100
954,8,162
955,994,42
956,55,
956,453,3
957,17,42
958,993,42
960,873,100
960,969,
961,731,100
961,969,
962,35,1
962,752,1
963,728,100
963,969,
964,745,100
964,969,
965,65,300
965,444,
967,947,21
971,903,
973,972,
974,903,
975,903,
976,903,
977,903,
978,903,
979,903,
981,988,
983,986,
984,777,
989,412,7
990,841,
996,58,
996,455,3
998,68,
998,547,150
999,34,
999,348,100
1000,34,
1000,735,100
1001,34,
1001,735,100
1002,34,
1002,732,100
1003,776,
1004,34,
1004,348,100
1005,49,
1005,457,1
1006,36,30
1007,36,
1007,1006,
1009,50,
1009,451,4
1010,937,
1010,1019,150
1019,937,2
1020,34,
1021,777,
1022,445,
1023,1024,
1026,777,
1028,1029,
1030,777,
1032,777,
1034,1035,5
1036,1037,
1038,1062,
1039,777,
1041,1042,
1043,1187,
1044,1045,
1046,392,
1048,1049,
1050,777,
1052,1053,
1054,777,
1056,777,
1058,1059,
1063,96,
1064,463,
1066,400,
1070,1068,10
1071,1069,10
1073,27,
1073,114,1
1077,120,1
1077,387,
1079,40,
1079,117,3
1086,418,
1087,72,4
1088,454,3
1089,106,1
1089,845,
1090,1071,1
1091,1070,1
1092,1068,
1092,1070,1
1093,1069,
1093,1071,1
1095,959,42
1128,588,
1129,912,
1130,911,
1156,117,
1157,117,
1161,62,40
1162,68,
1163,40,
1163,117,3
1164,709,
1165,709,2
1172,58,
1172,455,3
1173,994,42
1177,900,30
1180,68,
1180,479,150
1181,68,
1181,479,150
1182,8,45
1185,99,1
1186,440,2400
1188,396,
1190,1191,
1192,392,
1193,86,2
1194,1195,
1218,119,1
1218,387,
1219,123,1
1219,1078,
1220,112,1
1221,17,42
1222,959,42
1223,436,4
1223,1238,
1224,9,162
