"N°Stock","Code Végétal Stock","Code Matériel Stock","Code Fournisseur Stock","Date entrée stock","Qtte Stock","Unité Stock","Unité par contenant Stock","N°Contenant Stock","Qtte contenant Stock","Tarif  Unitaire HT Achat Stock","Tarif  Unitaire TTC Achat Stock","N°Commande/Achat Stock","N° Lot Stock","DLUT Stock","Zone Stockage Stock","N°Stock Calculé","Caractéristique Stock"
109,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
110,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
111,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
112,8,,70,2014-11-3,599.50,"kg",18.00,7,1.00,,,,"03/11/2014",2015-5-2,1,"2014-8-03/11/2014"
113,40,,70,2014-11-3,23.00,"kg",2.00,2,30.00,,,,"03/11/2014",2014-11-6,,"2014-40-03/11/2014"
114,40,,70,2014-11-10,62.60,"kg",2.00,2,30.00,,,,"10/11/2014",2014-11-13,,"2014-40-10/11/2014"
115,40,,70,2014-11-10,62.60,"kg",2.00,2,30.00,,,,"10/11/2014",2014-11-13,,"2014-40-10/11/2014"
116,54,,70,2014-11-10,213.00,"kg",18.00,7,1.00,,,,"10/11/2014",2015-2-8,2,"2014-54-10/11/2014"
117,58,,70,2014-11-17,19.80,"kg",18.00,4,40.00,,,,"17/11/2014",2015-6-15,30,"2014-58-17/11/2014"
118,54,,70,2014-11-24,242.00,"kg",18.00,7,1.00,,,,"24/11/2014",2015-2-22,2,"2014-54-24/11/2014"
119,58,,70,2014-11-24,248.40,"kg",18.00,4,40.00,,,,"24/11/2014",2015-6-22,30,"2014-58-24/11/2014"
120,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
121,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
122,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
123,8,,70,2014-9-15,155.50,"kg",18.00,1,35.00,,,,"15/09/2014",2015-3-14,,"2014-8-15/09/2014"
124,49,,70,2014-9-15,448.00,"pièce(s)",30.00,3,80.00,,,,"15/09/2014",2014-9-22,,"2014-49-15/09/2014"
125,68,,70,2014-9-15,1078.00,"pièce(s)",50.00,2,30.00,,,,"15/09/2014",2014-9-25,,"2014-68-15/09/2014"
126,86,,70,2014-9-15,699.00,"kg",6.00,10,1.00,,,,"15/09/2014",2014-9-30,,"2014-86-15/09/2014"
127,2,,70,2014-9-22,105.00,"pièce(s)",10.00,2,30.00,,,,"22/09/2014",2014-9-29,,"2014-2-22/09/2014"
128,8,,70,2014-9-22,122.00,"kg",18.00,1,35.00,,,,"22/09/2014",2015-3-21,,"2014-8-22/09/2014"
132,35,,70,2014-9-22,1628.00,"pièce(s)",15.00,1,35.00,,,,"22/09/2014",2014-9-27,,"2014-35-22/09/2014"
133,49,,70,2014-9-22,727.00,"pièce(s)",30.00,3,80.00,,,,"22/09/2014",2014-9-29,,"2014-49-22/09/2014"
134,68,,70,2014-9-22,1415.00,"pièce(s)",50.00,2,30.00,,,,"22/09/2014",2014-10-2,,"2014-68-22/09/2014"
135,86,,70,2014-9-22,675.80,"kg",6.00,10,1.00,,,,"22/09/2014",2014-10-7,,"2014-86-22/09/2014"
136,8,,70,2014-9-29,622.70,"kg",18.00,1,35.00,,,,"29/09/2014",2015-3-28,,"2014-8-29/09/2014"
137,40,,70,2014-9-29,118.00,"kg",2.00,7,1.00,,,,"29/09/2014",2014-10-2,,"2014-40-29/09/2014"
138,68,,70,2014-9-29,792.00,"pièce(s)",50.00,2,30.00,,,,"29/09/2014",2014-10-9,,"2014-68-29/09/2014"
139,86,,70,2014-9-29,207.60,"kg",6.00,10,1.00,,,,"29/09/2014",2014-10-14,,"2014-86-29/09/2014"
140,8,,70,2014-10-6,647.00,"kg",18.00,1,35.00,,,,"06/10/2014",2015-4-4,,"2014-8-06/10/2014"
141,8,,70,2014-10-6,647.00,"kg",18.00,1,35.00,,,,"06/10/2014",2015-4-4,,"2014-8-06/10/2014"
142,35,,70,2014-10-6,220.00,"pièce(s)",15.00,1,35.00,,,,"06/10/2014",2014-10-11,,"2014-35-06/10/2014"
143,86,,70,2014-10-6,47.20,"kg",6.00,3,80.00,,,,"06/10/2014",2014-10-21,,"2014-86-06/10/2014"
