code,article,famille_code,factpoids,unitevente,prix,suivistock
PLANTARO,Plantes aromatiques en bouquet,02AROM,f,1,1.4,0
PLDIVE,Plants Divers,05PL,f,2,1,0
PLEUBA,Pleurote Barquette non Bio*,02CHAM,f,2,2,0
PLEUREXTERIEUR,Pleurote Ecoter bio,02CHAM,t,3,13.7,0
PLEURO,Shitaké non Bio *,02CHAM,t,3,12,0
PLEUROTEVRAC,Pleurotes non AB*,02CHAM,t,3,10,0
PLIN05,Pain au lin 500 g,04PA,f,2,2.7,2
POELASIAT,Poelée asiatique,15TRANSLEG,t,3,5.2,0
POICAS,Pois cassés Bel air 500 g,04HAR,f,1,2.2,2
POICASS,Pois cassés bio,04HAR,f,2,3,0
POICHI,Pois chiches secs 500g,04HAR,f,1,2.95,2
POICON,Poires Conférence,03POIRE,t,3,3.65,2
POICRO,Pois Croquant Jardins,02POIS,t,3,8,0
POIGUY,Poire Guyot Alex Pack WV Conf,03POIRE,t,3,3.8,2
POIHA,Poire Harrow,03POIRE,t,3,3.65,2
POIHE,Poire Kaiser Alexander Italie,03POIRE,t,3,4.2,2
POIPASS,Poire Passe Crassane France,03POIRE,t,3,5.1,2
POIPLA,Poireaux plants x25,05POIR,f,2,4,0
POIRAB,Poires packam France,03POIRE,t,3,3.7,2
POIRALFRA,Poire packam France,03POIRE,t,3,3.7,2
POIRAUT,Poireau bio plant x30,05POIR,f,2,4.5,0
POIRCO,Poires Conférence Italie,03POIRE,t,3,3.9,2
POIRDUCHESSE,Poire comice France,03POIRE,t,3,3.35,2
POIRE,Poires William Verte,03POIRE,t,3,3.8,2
POIRE_FRANCE,Poire Comice Hollande,03POIRE,t,3,4.4,2
POIREA,Poireau,02POIR,t,3,3.65,0
POIRESHARROW,Poires Harrow Sweet,03POIRE,t,3,3.7,2
POIRESVOSGES,Poires des Vosges,03POIRE,t,3,3.7,2
POIREWILLIAM,Poire William Rouge,03POIRE,t,3,4.15,2
POIRPROMO,Poire pour confiture,03POIRE,t,3,2.8,2
POIRROKSO,Poires Roksolana,03POIRE,t,3,3.25,2
POIRSTGERMAINE,Poire Ste Germaine France,03POIRE,t,3,3.65,2
POIRWI,Poire pour confiture,03POIRE,t,3,2.8,2
POIRWIRO,Poire giffard,03POIRE,t,3,3.3,2
POISCASVRAC,Pois cassés vrac FR,04CEREALE,t,3,4.5,2
POISCHICHVRAC,Pois chiches vrac FR,04CEREALE,t,3,4.6,2
POISECOS,Petit pois écossé,02POIS,t,3,8,0
POISTB,Poires St Benoit la Chipotte,03POIRE,t,3,1.8,2
POIV,Pinokkio corne Bio Plant,05SOLAN,f,2,1.6,0
POIVGOUR,Poivron gourmet Bio Plant,05SOLAN,f,2,1.5,0
POIVLILO,Poivron lilo Bio Plant,05SOLAN,f,2,1.5,0
POIVREGRARCADIE,Poivre grain Arcadie Vrac,04MOUT,t,3,39,0
POIVRO,Poivron jardins,02POIV,t,3,4.2,0
POIVRON,Poivron cocktail,02POIV,t,3,5.3,0
POIVRONROU,Poivron rouge espagne,02POIV,t,3,5.6,0
POL025,Pollen 250 g,12RELIONRO,f,2,11.2,2
POL050,Pollen 500 g,12RELIONRO,f,2,20.4,2
POLENTAVRAC,Polenta 500 grs,04RIZ,f,1,1.5,2
POMANG,Pois mangetout Jardins,02POIS,t,3,12,0
POMBOS,Pommes Canada Jardins,03POMME,t,3,2.9,2
POMBRA,Pommes Braeburn,03POMME,t,3,2.7,2
POMCAN,Pommes Canada grise,03POMME,t,3,2.7,2
POMCOM,Pomme à compote,03POMME,t,3,2.5,2
POMCOX,Pomme Cox Orange,03POMME,t,3,2.7,2
POMEES,Pomelos Espagne+Italie,03POMELOS,f,3,4.3,4
POMEITA,Pomelos rose Esp Talie,03POMELOS,t,3,4.3,2
POMELC,Pomélos Esp,03POMELOS,t,3,4.3,2
POMELO,Pomélos ESP,03POMELOS,t,3,2.5,2
POMELS,Pommes Elstar,03POMME,t,3,2.7,2
POMFLO,Pommes non AB Florent,03POMME,t,3,2,2
POMFUJ,Pommes Fudji,03POMME,t,3,2.7,2
POMGOL,Pommes Golden,03POMME,t,3,2.7,2
POMGOLD,Pomme,03POMME,t,3,3.4,2
POMGRA,Pommes Granny Smith,03POMME,t,3,2.7,2
POMIDA,Pommes Idared,03POMME,f,1,2.7,2
POMJCOM,Pomme compote,03POMME,t,3,2,0
POMJONA,Pommes Jonagold,03POMME,t,3,2.7,2
POMMESECHE,Pomme séchée sachet 100g,03FS,f,2,3.1,2
POMMIR,Pomme Saison 2019,03POMME,t,3,3.55,0
POMPIER,Pomme petit calibre PIERROT,03POMME,t,3,1.9,2
POMPIN,Pommes Pinova,03POMME,t,3,2.7,2
POMRAV,Pommes non traitées Ravenel,03POMME,t,3,1.5,2
POMROY,Pommes Royal Gala,03POMME,t,3,3.3,2
POMSAC,Pomme sachet 2kg,03POMME,f,2,4.95,2
POMSAN,Pommes Santana,03POMME,t,3,2.7,2
POMTOP,Pommes Topaze,03POMME,t,3,2.7,2
POMU,Musquée de Provence bio plant,05POTI,f,2,1.5,0
POTA,Pot au feu sachet,15TRANSLEG,t,3,3,0
POTAUFEU,Pot au feu 1.5 kg,02SACHET,f,2,3.1,0
POTERR,Pomme de terre Hol,02POMM,t,3,2.6,0
POTIBUTTER,Butternut bio plant motte 8 cm,05POTI,f,2,1.5,0
POTIMA,Potimarron,02POTIR,t,3,2,2
POTIMAORANGE,Potimarron orange Holl,02POTIR,t,3,3.5,0
POTIMARRON,Potimarron Jardins,02POTIR,t,3,2.9,0
POTIRO,Rouge vif d'Etampes bio plant,05POTI,f,2,1.5,0
POTIRON,Potiron,02POTIR,t,3,2.5,0
POTIRONROE,Potiron jardins,02POTIR,t,3,2.8,0
POTISPAG,Spaghetti bio plant,05POTI,f,2,1.5,0
POUC,Uchiki Bio Plant,05POTI,f,2,1.5,0
POUDRELEVER,Poudre à Lever Sachet 2x7g,04MOUT,f,1,0.45,0
POURPI,Roquette sauvage <france<,02SALA,t,3,13.45,0
POURPIER,Pourpier,02SALA,t,3,5,0
PPIMENT,Piment de Cayenne,02POIV,t,3,12,0
PRESTENVIRONEMENT,Prestations Environnement,06,f,1,6.5,0
PRUNDENOY,Pruneaux dénoyautés sachet 250g,03FS,f,2,5.3,2
PRUNE,Reine-claude France,03PRUNE,t,3,6.75,2
PRUNE_ROUGE_FRANCE,Prunes katinka France,03PRUNE,t,3,4.4,2
PRUNEAUX,Pruneaux gros sachet 500g,03FS,f,2,7.6,2
PRUNEJAUNE,Prunes rouge France,03PRUNE,t,3,5.1,2
PRUNESBLEU,Prune Helena Alsace,03PRUNE,t,3,3.95,2
PRUNESTAN,Prune Katinka France,03PRUNE,t,3,4.95,2
PRUNESVIOLFLORENT,Prunes Violettes non AB Florent,03PRUNE,t,3,2,2
PRUSAU,Prune jaune,03PRUNE,t,3,4.9,2
PRUVRAC,Pruneaux vrac kg,03FS,t,3,15.9,2
PSES05,Pain Mélilot 500 g,04PA,f,2,2.7,2
PTOU05,Pain au tournesol 500 g,04PA,f,2,2.7,2
PTSE05,PainTourte au seigle 500 g,04PA,f,2,2.7,2
PTSEKG,Pain Tourte de seigle kg,04PA,f,2,5,2
QUETFR,Quetsche  Alsace,03PRUNE,t,3,3.95,2
QUETSC,Questche Allemagne,03PRUNE,t,3,4,2
QUETSCHE_ALLEMAGN,Quetsche France,03PRUNE,t,3,4.5,2
QUINOABLAN,Quinoa real blanc 500g,12ARTISMON,f,2,4.8,0
QUINOABOLIVIE,Quinoa Bolivie Vrac,04CEREALE,t,3,6.95,2
QUINOALANDESVRAC,Graines de quinoa des landes Vrac,04CEREALE,t,3,11.65,2
QUINOAROUGE,Quinoa real rouge 500 gr,12ARTISMON,f,2,5.8,0
QUINOATRIO,Quinoa trio real 500g,12ARTISMON,f,2,5.3,0
RABLAN,Radis Asiatique Jardins,02RADI,t,3,3.2,0
RACLETTE,Raclette des alpages,04FROMAGE,t,3,17.8,2
RAIBLA,Raisin Muscat noir Alsace,03RAISIN,t,3,7.1,2
RAIBLEU,Raisin Muscat Bleu Alsace,03RAISIN,t,3,6,2
RAICHAS,Raisin blanc Chasselas France,03RAISIN,t,3,6.75,2
RAICHRO,Raisin rosé Chasselas France,03RAISIN,t,3,6.7,2
RAICLA,Raisin blanc vittoria italie,03RAISIN,t,3,4.3,2
RAIDANFR,Raisin blanc Danlas France,03RAISIN,t,3,6,2
RAIFO,Raifort Bio Plant,05AROMCH,f,2,2.3,0
RAIITA,raisin exalta sans pépins France,03RAISIN,t,3,6.95,2
RAILAV,Raisin Lavallée Noir,03RAISIN,t,3,6.2,2
RAILIV,Raisin muscat noir,03RAISIN,t,3,7.3,2
RAIMUS,Raisin Noir Lival France,03RAISIN,t,3,5.65,2
RAIMUSCATBLANC,Raisin Muscat blanc France,03RAISIN,t,3,5.75,2
RAINAP,Raisin Noir Napoléon Espagne,03RAISIN,t,3,6.2,2
RAINOIR,Raisin noir Lavallée et Cardinal France,03RAISIN,t,3,6,2
RAIORA,Raisin italia Sicile,03RAISIN,t,3,5.1,2
RAIRIB,Raisin italia Salamita,03RAISIN,t,3,4.4,2
RAIROU,Raisin noir Napoléon Esp,03RAISIN,t,3,6,2
RAISEC,Raisins Secs Turquie 500g,03FS,f,2,4.6,2
RAISIN,Raisin blanc ora,03RAISIN,t,3,6.2,2
RAISIN_GLOBAL,Raisin France Lavallée/Ribol/Dattal/Cardinal,03RAISIN,t,3,5.75,2
RAISJ,RAISIN DES JARDINS,03RAISIN,t,3,5,0
RAISRI,Raisin Italia Blanc Italie,03RAISIN,t,3,4.2,2
RAISVR,Raisins Secs Turquie vrac,03FS,t,3,6.9,2
RANOIR,Radis noir Jardins,02RADI,t,3,3.2,0
RAPA,Rapa Di Cima,02SALA,f,2,1,0
RAROSE,Radis au kg,02RADI,t,3,4,0
RATATOUIL620,Ratatouille Jardins 620 g,15TRANSLEG,f,1,6.1,0
RAVEBOTTE,Chou rave botte,02CHOU,f,2,1.2,0
RAVERT,Radis Rose Botte,02RADI,f,2,1.2,0
REBLOCHON,Reblochon petit AOC Savoie,04FROMAGE,f,1,6.95,2
RHUB,Rhubarbe Plant,05PLANT,f,2,2.3,0
RHUBAR,Rhubarbe Jardins,03RHUBARBE,t,3,4.5,0
RHUBARBE,Rhubarbe demeter Allemagne,03RHUBARBE,t,3,5.4,0
RIESLINGM,Vin Riesling Muller,04BOISSONS,f,1,7.95,2
RIZBASM,Riz basmatti 500g,12ARTISMON,f,2,3.4,0
RIZBLANVRAC,Riz long / rond semi complet vrac,04CEREALE,t,3,3.8,0
RIZDEMIL,Riz rond semi complet vrac,04CEREALE,f,1,3.8,2
RIZLON,Riz long blanc thai vrac,04CEREALE,t,3,4.5,2
RIZTHAIJASMB,Riz thai jasmin blanc 500g,12ARTISMON,f,2,3.05,0
RIZTHAIJASMC,Riz thai jasmin complet 500g,12ARTISMON,f,2,2.75,0
RIZTRIOCAMARGUE,Riz Trio Camargue Vrac,04CEREALE,t,3,6.7,2
ROMA,Romarin Bio Plant,05AROMCH,f,2,2.3,0
ROOIBOS,Rooibos afrique super fruit 80g,12ARTISMON,f,2,6.4,0
ROQU,Roquette poids,02SALA,t,3,6,0
ROQUE,Roquette sauvage Plant,05AROM,f,2,2,0
ROQUEFORT,Roquefort papillon,04FROMAGE,f,2,3.95,2
ROQUEPL,Roquette Bio Plant,05AROMCH,f,2,2.3,0
ROQUET,Roquette,02SALA,t,3,12,0
ROULEAUPRINTEMPS,Rouleau de Printemps Kg,15TRANSLEG,t,3,20,0
RUTABA,Rutabaga Jardins,02NARU,t,3,2.6,0
RUTANEGOCE,Rutabaga France kg,02NARU,t,3,2.2,0
SABL,Sablés sachet,04PA,f,2,4,2
SABLE,Sablés Assortiment,04PA,f,2,5,2
SABLECITRON,Sable citron,12ARTISMON,f,2,2.5,0
SABLEEPEAUTRE,Sablé épeautre cacao,12ARTISMON,f,2,2.5,0
SABLENOIXCOCO,Sablé noix coco,12ARTISMON,f,2,2.5,0
SACFRUI,Panier Fruité 1,03FD,f,2,10.45,0
SACFRUIT,Panier Fruité 2,03FD,f,2,13.55,0
SACFRUIT1,Panier Fruité 3,03FD,f,2,17.7,0
SACFRUIT2,Panier Fruité 4,03FD,f,2,20.85,0
SACHET,Sachet Macédoine,02SACHET,f,2,2.6,0
SACHETCRU,Sachet Crudités,02SACHET,t,3,10,0
SACHS,Sachet Jardinière,02SACHET,t,3,2.8,0
SACHSOU,Sachet Légumes mesclum,02SACHET,t,3,5.5,0
SACTISSUGM,Sac tissu gm,04ACCJARD,f,1,1,0
SACTISSULOTP,Sacs PM Tissu /5,04ACCJARD,f,1,2.3,0
SACTISSUPM,Sac tissu pm,04ACCJARD,f,1,0.5,0
SAINTMARCELIN,Saint marcelin 80g,04FROMAGE,f,2,2.95,2
SALAD2,Salade Jardins,02SALA,f,2,1.5,0
SALADE,Batavia,02SALA,f,2,1.75,0
SALAKG,Salade kg,02SALA,t,3,6,0
SALASCOT,Pourpier alsace,02SALA,t,3,14.9,2
SALBATAVERT,Batavia verte,02SALA,f,1,1.2,0
SALBATAVROUGE,Batavia rouge,02SALA,f,1,1.2,0
SALFEUILCHENROUGE,Feuille de chêne rouge,02SALA,f,1,1.2,0
SALFEUILCHENVERT,Feuille de chêne verte,02SALA,f,1,1.2,0
SALIERE,Salière 125g fleur de sel,04SEL,f,2,4.9,2
SARDHO,Sardine à l'huile d'olive 135g,04POIS,f,1,4.3,0
SARDINE,Sardine à l'huile d'olive 135g,04POIS,f,2,3.55,2
SARDINECITR,Sardine huile d'olive citron 135g,04POIS,f,1,3.55,2
SARDINECITRON,Sardines à l'huile et citron 220g,04POIS,f,1,7.95,0
SARDINEHUILEOLIV,Sardines à l'huile d'olives 220g,04POIS,f,1,7.95,0
SARDINEPIMENTESP,Sardines à l'huile d'olive et piment d'espelette 220g AOP,04POIS,f,1,7.95,0
SARHOC,Sardine à l'huile d'olive citron 135g,04POIS,f,1,3.55,0
SARIE,Sariette vivace Bio Plant,05AROMCH,f,2,2.3,0
SAUG,Sauge officinale Plant,05AROMCH,f,2,2.3,0
SAUGANA,Sauge ananas Bio Plant,05AROMCH,f,2,2.3,0
SAUGE,Sauge bouquet,02AROM,f,2,1.4,0
SAUPOU,Sauge Pourpre Plant,05AROM,f,2,2,0
SCAFRI,Scarole Frisée,02SALA,f,2,1.5,0
SCAROL,Scarole,02SALA,f,2,2.4,0
SCORSACHET400G,Scorsonnères sous vide 400g,02PANA,f,2,2.5,0
SCORSO,Salsifis Hollande,02PANA,t,3,3.45,0
SEL,Gros Sel 1 kg,04SEL,f,2,2.5,2
SELCAM,Sel à la cameline 80 gr,04SEL,f,1,4.95,2
SELFIN,Salière sel fin de Guérande 250g,04SEL,f,2,2.75,2
SELFIN500,Sel fin sachet 500 g,04SEL,f,2,2.9,2
SEMHARICOT,Haricot vert semence,05SEME,t,3,30,0
SEVE,Sève de Bouleau litre,04,f,2,11,2
SHIDEC,Shitake déclassé non AB*,02CHAM,t,3,6,0
SHIVR,Shitaké EcoTer,02CHAM,t,3,15.5,0
SIROPS,Sirops Jardins de Cocagne,04JF,f,2,6.5,0
SNACKY,Concombre Snacky,02CONC,t,3,6,0
SOJADEFRUIT,Sojade Fruit 400 g,04PL,f,2,3.5,2
SOUPEBOCAL375,Bocal Soupe 375 cl,15TRANSLEG,f,1,1.9,0
SOUPELEGUMES,Soupe de Légumes  Bio 1 litre,15TRANSLEG,f,1,4.95,0
SPAGQUINOA,Spaghetti quinoa 500g,12ARTISMON,f,2,3.5,0
SPIRALONI,Spiraloni au blé dur 250 g,04PATES,f,1,2.15,2
STEVIA,Aromatique PROMO,05AROM,f,2,1.8,0
SUCRAMERI,Sucre de Canne 1kg,04SUCRE,f,2,3.8,2
SUCRCAN,Sucre de canne vrac,04SUCRE,t,3,3,0
SUCRE,Sucre de Canne 5kg,04SUCRE,f,2,16.25,0
SUCRPANE,Sucre panela 1kg,04SUCRE,f,2,11.4,2
SUCRPANEL5,Sucre panela 500g,04SUCRE,f,2,6.15,2
TAPENADENOIR,Tapenade noire à la grecque 212ml,04TAPEN,f,2,4.2,2
TAPENADEVERT,Tapenade verte à la grecque 212ml,04TAPEN,f,2,4.2,2
TARTEFRUIT,Tarte Fruits Entière,15TRANSLEG,f,2,16,0
TARTEFRUITPART,Tarte Fruits Part,15TRANSLEG,f,2,3,0
TARTELEGUME,Tarte Légumes Entière,15TRANSLEG,f,1,16,0
TARTELEGUMEPART,Tarte Légumes Part,15TRANSLEG,f,2,3,0
TENDORIARCADIE,Tendori Arcadie 70 g,04MOUT,f,1,3.4,0
THEBLANC,Thé blanc zen,04THE,f,2,5.3,0
THENOIRASSAM,Thé noir assam 100g,04THE,f,2,4.5,0
THENOIRCHAI,Thé noir chai curcuma 90g,04THE,f,2,5.9,0
THENOIRDJAER,Thé noir darjeeling 100g,04THE,f,2,5.2,0
THENOIRINFCEYL,Thé noir infusettes Ceylan,04THE,f,2,4,0
THENOIRINFLAOS,Thé noir infusettes Laos,04THE,f,2,5.5,0
THENOIRINFOOLONG,Thé infusettes Oolong Laos,04THE,f,2,5.5,0
THENOIRNOELT,Thé noir de Noel tube,04THE,f,2,7.9,0
THENOIROOLONGSHAN,Thé Oolong Laos 80 gr,04THE,f,2,4.6,0
THEVERTCOCOCIT,Thé vert coco citron 70g,04THE,f,2,5.5,0
THEVERTEARLGREY,Thé vert earl grey 90g,04THE,f,2,6.6,0
THEVERTINFLAOS,Thé vert Shan infusettes Laos,04THE,f,2,4.9,0
THEVERTJASMIN,Thé vert jasmin,04THE,f,2,7.2,0
THEVERTNOEL,Thé vert de Noel 100g,04THE,f,2,6.3,0
THEVERTSENCHA,Thé vert sencha chine 90g,04THE,f,2,5.1,0
THEVERTVITALIT,Thé vert vitalité 80g,04THE,f,2,6.4,0
THON,Thon au naturel 400g,04THON,f,2,8.95,2
THONAT,Thon au naturel 160g,04THON,f,1,4.05,2
THONHUI,Thon huile olive 160g,04THON,f,1,6.2,2
THY,Thym bouquet,02AROM,f,2,1.4,0
THYM,Thym commun Bio Plant,05AROMCH,f,2,2.3,0
THYMCI,Thym citron Bio Plant,05AROMCH,f,2,2.3,0
THYMCIT,Thym citron panaché Bio Plant,05AROMCH,f,2,2.3,0
THYMOR,Thym Orange Plant,05AROM,f,2,2,0
THYMORANGE,Thym orange Bio Plant,05AROMCH,f,2,2.3,0
THYMVU,Thym vulgaris gold Plant,05AROM,f,2,2,0
TISANEVERVEINE,Tisane Verveine sachet,04TISANE,f,1,4.5,0
TOAN,Ananas Bio Plant,05TOMA,f,2,1.6,0
TOAND,Andine Cornue Bio Plant,05TOMA,f,2,1.6,0
TOCE,Cerise Bio Plant,05TOMA,f,2,1.6,0
TOCERI,Tomate cerise Jardins,02TOMA,t,3,6.2,0
TOFLEU,Coeur de boeuf Fleurette Bio Plant,05TOMA,f,2,1.6,0
TOMACONF,Tomate ronde Jardins,02TOMA,t,3,3.05,0
TOMAGP,Tomate Ronde Cagette,02TOMA,f,2,10,0
TOMAPP,Tomate petit panier,02TOMA,f,2,6.5,0
TOMAR,Marmande Bio Plant,05TOMA,f,2,1.6,0
TOMAT5KG,Tomate cagette 5kg,02TOMA,f,1,8,0
TOMATSECHE,Tomate séchée à l'huile de tournesol 260ml,04,f,2,4.8,2
TOMBS,Buffalosteak Bio Plant,05TOMA,f,2,1.6,0
TOMCERBAR,Tomate cerise barquette 300 gr,02TOMA,f,1,3,0
TOMCOU,Tomate coulis,02TOMA,t,3,1.8,0
TOME,Tomate mélange x6 Plant,05TOMA,f,2,6.6,0
TOMEBREBIS,Tomme de brebis,04FROMAGE,t,3,32,0
TOMEPIER,Tomme de Pierre Percée,04FROMAGE,t,3,21,0
TOMETTE,Tome de Pierre Percée,04FROMAGE,t,3,21,2
TOMGRAP,Tomate Cocktail Jardins,02TOMA,t,3,2.8,0
TOMGRAPCERISEKG,Tomate cerise grappe,02TOMA,t,3,4.4,2
TOMMEBREBISLAGASSE,Tomme Brebis Lagasse Kg,04FROMAGE,t,3,31.9,2
TOMMECHEVRE,Tomme de chèvre jefou,04CHEVRE,t,3,29.8,2
TOMPIERAIL,Tomme pierre percée ail des ours,04FROMAGE,t,3,22.9,2
TOMPIERNOIS,Tomme Pierre Percée noisettes,04FROMAGE,t,3,22.5,2
TOMREBEL,Tomate rebellion,05TOMA,f,2,3.5,0
TOMSAUC,Tomate purée de tomates 360 gr,15TRANSLEG,f,1,3,0
TOMSECH,Tomates séchées bocal 100g,02CONDIM,f,2,3,2
TOMVER,Tomate ancienne Jardins,02TOMA,t,3,4.1,0
TOMVOSAROM,Tomme des Vosges  ail/cum/ortie/serpolet,12VACCEUX,t,3,16.05,2
TOMVOSG,Tomme des Vosges,12VACCEUX,t,3,15.5,2
TONOIRE,Noire de Crimée Bio Plant,05TOMA,f,2,1.6,0
TOPA,Ronde Paola Bio Plant,05TOMA,f,2,1.6,0
TOPINA,Topinambour kg,02RACINE,t,3,4.4,0
TOROND,Tomate ronde provence,02TOMA,t,3,3.8,0
TOROSE,Rose de Berne Bio Plant,05TOMA,f,2,1.6,0
TOTR,Cerise Trilly Bio Plant,05TOMA,f,2,1.6,0
TOTRIL,Tomate ancienne,02TOMA,t,3,6.2,0
TOZEB,Green Zebra Bio Plant,05TOMA,f,2,1.6,0
TROISBAIESARCADIE,Trois Baies Arcadie 70 gr,04MOUT,f,1,7.5,0
TRUFPRALIN,Truffes pralinées 100g,12ARTISMON,f,2,4.95,0
TULIPEBOUQUET,Tulipe en bouquet,05PL,f,2,5,0
VALERIANE,Valériane officinale Bio Plant,05AROMCH,f,2,2.3,0
VEGANSPRITCOCO,Vegan spritz coco choco ss gluten,04CONFISER,f,2,3.95,2
VENTRECHETHONHUILE,Ventreche de Thon Albacore à l'huile d'olive 210g,04POIS,f,1,9.9,0
VERV,Verveine Citronnelle Plant,05AROMCH,f,2,2.3,0
VINABAL,Vinaigre Balsamique 250 ml,04VINAIGRE,f,2,4.3,2
VINAFLOMIEL,Vinaigre floramiel 25cl,04VINAIGRE,f,2,4.5,2
VINAIGCIDRECOT,Vinaigre de cidre coteaux 75cl,04VINAIGRE,f,2,3.25,2
VINAIGVIN,Vinaigre de vin rouge 50cl,04VINAIGRE,f,2,3.1,2
VINAMI,Vinaigre de Miel 50 cl,12RELIONRO,f,1,5.1,2
VINBALS,Vinaigre Balsamique 500 ml,04VINAIGRE,f,2,5.35,2
VINCIDRE,Vinaigre de Cidre 1L,04VINAIGRE,f,2,3.8,2
VINSTJOSEPH,Vin St Joseph,04BOISSONS,f,1,12.95,2
VRACLEGAJUS,Filet de légumes à jus,02MINEST,t,3,2.5,0
VRACMINESTRONE,Barquette de légumes pot au feu,02MINEST,f,2,5,0
YAOUFAMI,Yaourt familial 500g,04CREMERIE,f,1,2.5,0
YAOUFRUI,Yaourt fruits lot de 6,04CREMERIE,f,1,4,0
YAOUFRUI4,Yaourt fruits lot de 4,04CREMERIE,f,1,2.78,0
YAOUFRUIP,Yaourt fruits unité,04CREMERIE,f,1,0.7,0
YAOUNAT,Yaourt nature unité,04CREMERIE,f,1,0.63,0
