code,article,famille_code,factpoids,unitevente,prix,suivistock
DOUCHOCONOIX,Douceur choco noix Amazonie 100g,12ARTISMON,f,2,3.9,0
ECHABOTTE,Echalote alsace,02EPIC,t,3,6,0
ECHALION,Echalion bio plant,05OIGN,f,2,1.5,0
ECHALO,Echalote jardins,02EPIC,t,3,5.1,0
ECORCITRON,Ecorce Citron confit sucre,04SUCRE,t,3,39.3,0
EMMENTCOUPE,Emmental à la coupe,04FROMAGE,t,3,19.95,2
ENDIFEUI,Endives jardins,02SALA,t,3,6.5,0
ENDIVE,Endive France,02SALA,t,3,7.5,0
ENGRAIN,Engrain (petit épautre) Bel air 500 g,04CEREALE,f,1,3.15,2
EPIJEUN,Jeune pousse Epinard,02EPIN,t,3,12,0
EPINAR,Epinard,02EPIN,t,3,4.9,0
EPINARDPLANT,Epinard Bio Plant,05FEUILLE,f,1,1.5,0
EPINARDSCOT,Epinard,02EPIN,t,3,5.4,0
EPIPOU,Epinard rouge,02EPIN,t,3,6.5,0
EPIVINCHAU,Epices pour vin chaud,12ARTISMON,f,2,7.1,0
ESTR,Estragon Bio Plant,05AROM,f,2,2.3,0
ESTRMEX,Estragon du Mexique Bio Plant,05AROM,f,2,2.3,0
FAR110,Farine Thabas blé T110 5kg,04FA,f,2,9.5,2
FAR1102.5KG,Farine Thabas blé T110 2.5kg,04FA,f,1,4.8,2
FAR25KG,Farine blé T80 25kg,04FA,f,2,34,2
FARALSACET1101KG,Farine Forstfeld T110 1kg,04FA,f,1,2.3,2
FARALSACET651KG,Farine Forstfeld T65 1kg,04FA,f,1,2.3,2
FARALSACET801KG,Farine Forstfeld T80 1kg,04FA,f,1,2.3,2
FARB65,Farine Thabas blé T65 5kg,04FA,f,2,10,2
FARB8025,Farine Thabas blé T80 2.5 kg,04FA,f,1,5.2,2
FAREPE,Farine Epeautre 5 kg,04FA,f,2,11.5,2
FAREPE25,Farine Thabas épeautre T110 2.5kg,04FA,f,1,7.85,2
FAREPEAUTCLAIR,Farine epeautre claire 1kg,04FA,f,1,4.1,2
FARINBLESEMICOMPL1,Farine blé semi complète 1kg,04FA,f,1,2.5,0
FARINBLESEMICOMPL2,Farine blé semi complète 2kg,04FA,f,1,4.4,0
FARINEBL1,Farine blé blanche 1kg,04FA,f,1,2.7,0
FARINEBL2,Farine blé blanche 2kg,04FA,f,1,4.8,0
FARINEPEAUTSC,Farine Epeautre semi complète 1kg,04FA,f,1,4.1,0
FARINSARAZ,Farine Sarrazin  1kg,04FA,f,1,4.2,0
FARNOIS,Farine Bel air noisette 150g,04FA,f,2,3.15,2
FARPETP,Farine Forstfeld épeautre bise 1kg,04FA,f,2,3.95,2
FARPTEPE,Farine Thabas petit ép T110 2.5 kg,04FA,f,1,11,2
FARSEI,Farine de seigle T110 5kg,04FA,f,2,7.5,2
FART65,Farine Thabas blé T65 2.5 kg,04FA,f,2,5.2,2
FART80,Farine Thabas blé T80 5 kg,04FA,f,2,9.5,2
FECHEN,Feuille de chêne,02SALA,f,2,1,0
FENOU,Fenouil France,02FENO,t,3,4.3,2
FENOUI,Fenouil jardins,02FENO,t,3,3.5,0
FENOUIL,Fenouil Bio Plant,05PLANT,f,2,1.5,0
FENOUILSCOT,Fenouil,02FENO,t,3,4.6,0
FERRYGAETAN,Ventes FERRY Gaétan,12,f,1,22.50,0
FETABREBIS,Fiesta brebis,04CREMERIE,t,3,26,0
FETAGR,Feta Grecque saumur 1 kg,04FROMAGE,f,1,17.6,0
FETAGRPO,Feta Gréce portion 180g,04FROMAGE,f,1,3.8,0
FEUI,FDC Verte Bio Plant,05FEUILLE,f,2,1.3,0
FEUILR,FDC Rouge Bio Plant,05FEUILLE,f,2,1.3,0
FEVE,Fève jardins,02POIS,t,3,2.95,0
FIG500,Figues séchées zagros 250g Iran,03FS,f,2,5,2
FIG500PROT,Figues proboten 500 g Turquie,03FS,f,1,9.55,2
FIGBLAN,Figue violette France,03FIGUE,t,3,13.95,2
