code,famille,code_parent,arborescence
03KIWI,Kiwi,03EXOTIQ,Jardin.Primeur.Fruits.Exotiques.Kiwi
03ABRICOT,Abricot,03,Jardin.Primeur.Fruits.Abricot
03BANA,Banane,03,Jardin.Primeur.Fruits.Exotiques.Banane
03CERI,Cerise,03,Jardin.Primeur.Fruits.Cerise
03FD,Paniers de fruits,03,Jardin.Primeur.Fruits.Paniers
03FIGUE,Figue,03,Jardin.Primeur.Fruits.Figue
03FRAISE,Fraise,03,Jardin.Primeur.Fruits.Fraise
03FS,Fruits secs,03,Jardin.Primeur.Fruits.FruitsSecs
03PECHE,Pêche,03,Jardin.Primeur.Fruits.Peche
03PRUNE,Prune,03,Jardin.Primeur.Fruits.Prune
03RAISIN,Raisin,03,Jardin.Primeur.Fruits.Raisin
03RHUBARBE,Rhubarbe,03,Jardin.Primeur.Fruits.Rhubarbe
04,* Épicerie,,Jardin.Epicerie
04ACCJARD,Accessoires,04,Jardin.Epicerie.Accessoires
04BOISSONS,** Boisson,04,Jardin.Epicerie.Boisson
04JF,Jus de fruit,04BOISSONS,Jardin.Epicerie.Boisson.JusDeFruit
04BIERE,Bière,04BOISSONS,Jardin.Epicerie.Boisson.Biere
04TISANE,Tisane,04BOISSONS,Jardin.Epicerie.Boisson.Tisane
04THE,Thé,04BOISSONS,Jardin.Epicerie.Boisson.The
04CEREALE,Céréale,04,Jardin.Epicerie.Cereale
04LGSEC,Légumes secs,04,Jardin.Epicerie.Sec
04LENT,Lentille,04LGSEC,Jardin.Epicerie.Sec.Lentille
04HAR,Haricot,04LGSEC,Jardin.Epicerie.Sec.Haricot
04CONFISER,Confiserie,04,Jardin.Epicerie.Confiserie
04EP,Condiments,04,Jardin.Epicerie.Condiments
04FA,Farine,04,Jardin.Epicerie.Farine
04GERME,Germe,04,Jardin.Epicerie.Germe
04HU,Huile,04,Jardin.Epicerie.Huile
04MI,Miel,04,Jardin.Epicerie.Miel
04MOUT,Moutarde,04,Jardin.Epicerie.Moutarde
04OE,Oeuf,04CREMERIE,Jardin.Epicerie.Cremerie.Oeuf
04PA,Patisserie,04,Jardin.Epicerie.Patisserie
04PATES,Pâte,04,Jardin.Epicerie.Pate
04CREMERIE,** Crèmerie,04,Jardin.Epicerie.Cremerie
04PL,Beurre,04CREMERIE,Jardin.Epicerie.Cremerie.Beurre
04POIS,Poisson,04,Jardin.Epicerie.Poisson
04RIZ,Riz,04,Jardin.Epicerie.Riz
04SEL,Sel,04,Jardin.Epicerie.Sel
04SUCRE,Sucre,04,Jardin.Epicerie.Sucre
04TAPEN,Tapenade,04,Jardin.Epicerie.Tapenade
04THON,Thon,04,Jardin.Epicerie.Thon
04TOM,Tomate,04,Jardin.Epicerie.Tomate
04VINAIGRE,Vinaigre,04,Jardin.Epicerie.Vinaigre
04FROMAGE,Fromage,04CREMERIE,Jardin.Epicerie.Cremerie.Fromage
04LAIT,Lait,04CREMERIE,Jardin.Epicerie.Cremerie.Lait
04CHEVRE,Fromage de chèvre,04FROMAGE,Jardin.Epicerie.Cremerie.Fromage.Chevre
05PLANT,* Plants Adhérent,,Jardin.Plants
05SOLAN,Solanacées,05PLANT,Jardin.Plants.Solanacees
05FEUILLE,Feuilles,05PLANT,Jardin.Plants.Feuilles
05RACINE,Racines,05PLANT,Jardin.Plants.Racines
05CHOU,Chou,05PLANT,Jardin.Plants.Chou
05CONC,Concombre,05PLANT,Jardin.Plants.Concombre
05CORN,Cornichon,05PLANT,Jardin.Plants.Cornichon
05COUR,Courgette,05PLANT,Jardin.Plants.Courgette
05FRAISIER,Fraisiers,05PLANT,Jardin.Plants.Fraisiers
05HARI,Haricot,05PLANT,Jardin.Plants.Haricot
05MAIS,Mais,05PLANT,Jardin.Plants.Mais
05MELON,Melon,05PLANT,Jardin.Plants.Melon
05OIGN,Oignon,05PLANT,Jardin.Plants.Oignon
05PF,Plants de fleurs,05PLANT,Jardin.Plants.Fleurs
05PHYSA,Physalis,05PLANT,Jardin.Plants.Physalis
05PL,Plants Divers,05PLANT,Jardin.Plants.Divers
05POIR,Poireau,05PLANT,Jardin.Plants.Poireau
05POTI,Courge - Potiron,05PLANT,Jardin.Plants.Courge
05RHUB,Rhubarbe,05PLANT,Jardin.Plants.Rhubarbe
05SEME,Semence,05PLANT,Jardin.Plants.Semence
05TOMA,Tomate,05PLANT,Jardin.Plants.Tomate
06,** PRESTATIONS,,Jardin.Prestations
06PE,Prestations environnements,06,Jardin.Prestations.Environnement
05AROM,** PLANTS Aromates,05PLANT,Jardin.Plants.Aromates
05AROMAB,Aromates  A - B,05AROM,Jardin.Plants.Aromates.AB
05AROMCH,Aromates  C - H,05AROM,Jardin.Plants.Aromates.CH
12,** Producteurs,,Jardin.Producteurs
12ARTISMON,Artisans du Monde,12,Jardin.Producteurs.ArtisansDuMonde
12ECOLONIE,Ecolonie,12,Jardin.Producteurs.Ecolonie
12RELIONRO,Miel Relion-Roussel,12,Jardin.Producteurs.Relion
12VACCEUX,Gaec du Vacceux,12,Jardin.Producteurs.Vacceux
15TRANSLEG,Epicerie,12,Jardin.Producteurs.Epicerie
DIVERS,LIVRE,12,Jardin.Livre
