compta;facture,jour;article;libelle;qte;pu;montant
AGUILCL01;FA2100021;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AGUILCL01;FA2200015;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AGUILCL01;FA23000013;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
AGUILCL01;FA2400015;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
AGUILCL01;AFA2500013;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
AGUILCL01;AFA2600012;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
AILALSA01;AFA2503084;2025-06-23 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
AILALSA01;AFV2500306;2025-11-17 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
ALAINMI01;FA20002632;2020-01-30 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALAINMI01;FA2100022;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALAINMI01;FA2200016;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ALAINMI01;FA23000014;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ALAINMI01;FA2400016;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ALAINMI01;AFA2500015;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ALBERSA01;FA20000012;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALBERSA01;FV20000036;2020-02-26 00:00:00.000;ACOT;Cotisation année 2020;-1.000000;30.000000;-30.000000
ALBRELI01;FA20000013;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALBRELI01;FA2100023;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALBRELI01;FV2100125;2021-06-04 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
ALEXAPA01;FA20000014;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALEXAPA01;FA2100024;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALEXAPA01;FA2200017;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ALEXAPA01;FA23000015;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ALEXAPA01;FA2400017;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ALEXAPA01;AFA2500016;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ALEXAPA01;AFA2600013;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ALEXAYA01;FA20000015;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALEXAYA01;FA2100025;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALEXAYA01;FA2200018;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ALEXAYA01;FA23000016;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ALEXAYA01;FA2400018;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ALEXAYA01;AFA2500017;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ALEXAYA01;AFA2600014;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ALISOPA01;FA2402757;2024-01-16 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ALISOPA01;AFA2500018;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ALISOPA01;AFA2600015;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ALIZANI01;FA2103003;2021-03-18 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALIZANI01;FA2200019;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ALIZANI01;FV2200015;2022-01-20 00:00:00.000;ACOT;Cotisation année 2022;-1.000000;30.000000;-30.000000
ALVERNI01;FA20000016;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ALVERNI01;FA2100026;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ALVERNI01;FA2200020;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ALVERNI01;FV2200164;2022-03-18 00:00:00.000;ACOT;Cotisation année 2022;-1.000000;30.000000;-30.000000
ALVERNI01;FA2400019;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ALVERNI01;AFA2500019;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ALVERNI01;AFV2500314;2025-12-04 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
AMBITLA01;FA2203273;2022-06-17 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
