livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1887068,26157,1,1,42,356,2024,2024-02-23,1,8,7
1887069,26157,1,1,42,356,2024,2024-03-01,1,9,7
1887070,26157,1,1,42,356,2024,2024-03-08,1,10,7
1887071,26157,1,1,42,356,2024,2024-03-15,1,11,7
1887072,26157,1,1,42,356,2024,2024-03-22,1,12,7
1887073,26157,1,1,42,356,2024,2024-03-29,1,13,7
1887074,26157,1,1,42,356,2024,2024-04-05,1,14,7
1887075,26157,1,1,42,356,2024,2024-04-12,1,15,7
1887076,26157,1,1,42,356,2024,2024-04-19,1,16,7
1887077,26157,1,1,42,356,2024,2024-04-26,1,17,7
1887078,26157,1,1,42,356,2024,2024-05-03,1,18,7
1887079,26157,1,1,42,356,2024,2024-05-10,1,19,7
1887080,26157,1,1,42,356,2024,2024-05-17,1,20,7
1887081,26157,1,1,42,356,2024,2024-05-24,1,21,7
1887082,26157,1,1,42,356,2024,2024-05-31,1,22,7
1887083,26157,1,1,42,356,2024,2024-06-07,1,23,7
1887084,26157,1,1,42,356,2024,2024-06-14,1,24,7
1887085,26157,1,1,42,356,2024,2024-06-21,1,25,7
1887086,26157,1,1,42,356,2024,2024-06-28,1,26,7
1887087,26157,1,1,42,356,2024,2024-07-05,1,27,7
1887088,26157,1,1,42,356,2024,2024-07-12,1,28,7
1887089,26157,1,1,42,356,2024,2024-07-19,1,29,7
1887090,26157,1,1,42,356,2024,2024-07-26,1,30,7
1887091,26157,1,1,42,356,2024,2024-08-02,1,31,7
1887092,26157,1,1,42,356,2024,2024-08-09,1,32,7
1887093,26157,1,1,42,356,2024,2024-08-16,1,33,7
1887094,26157,1,1,42,356,2024,2024-08-23,1,34,7
1887095,26157,1,1,42,356,2024,2024-08-30,1,35,7
1887096,26157,1,1,42,356,2024,2024-09-06,1,36,7
1887097,26157,1,1,42,356,2024,2024-09-13,1,37,7
1887098,26157,1,1,42,356,2024,2024-09-20,1,38,7
1887099,26157,1,1,42,356,2024,2024-09-27,1,39,7
1887100,26157,1,1,42,356,2024,2024-10-04,1,40,7
1887101,26157,1,1,42,356,2024,2024-10-11,1,41,7
1887102,26157,1,1,42,356,2024,2024-10-18,1,42,7
1887103,26157,1,1,42,356,2024,2024-10-25,1,43,7
1887104,26157,1,1,42,356,2024,2024-10-31,1,44,7
1887105,26157,1,1,42,356,2024,2024-11-08,1,45,7
1887106,26157,1,1,42,356,2024,2024-11-15,1,46,7
1887107,26157,1,1,42,356,2024,2024-11-22,1,47,7
1887108,26157,1,1,42,356,2024,2024-11-29,1,48,7
1887109,26157,1,1,42,356,2024,2024-12-06,1,49,7
1887110,26157,1,1,42,356,2024,2024-12-13,1,50,7
1887111,26157,1,1,42,356,2024,2024-12-20,1,51,7
1887112,26158,1,1,14,258794,2024,2024-01-12,1,2,7
1887113,26158,1,1,14,258794,2024,2024-01-19,1,3,7
1887114,26158,1,1,14,258794,2024,2024-01-26,1,4,7
1887115,26158,1,1,14,258794,2024,2024-02-02,1,5,7
1887116,26158,1,1,14,258794,2024,2024-02-09,1,6,7
1887117,26158,1,1,14,258794,2024,2024-02-16,1,7,7
1887118,26158,1,1,14,258794,2024,2024-02-23,1,8,7
1887119,26158,1,1,14,258794,2024,2024-03-01,1,9,7
1887120,26158,1,1,14,258794,2024,2024-03-08,1,10,7
1887121,26158,1,1,14,258794,2024,2024-03-15,1,11,7
1887122,26158,1,1,14,258794,2024,2024-03-22,1,12,7
1887123,26158,1,1,14,258794,2024,2024-03-29,1,13,7
1887124,26158,1,1,14,258794,2024,2024-04-05,1,14,7
1887125,26158,1,1,14,258794,2024,2024-04-12,1,15,7
1887127,26158,2,1,14,258794,2024,2024-04-26,1,17,7
