régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
3,81456,PATHE,NORMANDIE,14 ESPLANADE LEOPOLD S.SENGHOR,14118,Caen,109401,14,14701,Caen,212405,04-Unités urbaines de 100 000 hbts ou plus,10,1866,53,17863,553536,603705,-8.3,De 450 à 700 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,362,204,147,37.6,43.0,17.3,2.1,132,19.3,11.3,49.177395,-0.349774
7,81541,ESPACE  CENTRE,PROVENCE-ALPES-COTE D'AZUR,5 AV DE VERDUN,06027,Cagnes-sur-Mer,52575,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,290,46,497,16470,15739,4.6,De 10 à 20 000 entrées,,OUI,C,,FIXE,NON,B,212,178,2,72.9,10.1,11.2,5.8,140,60.0,61.8,43.662147,7.148711
7,81545,CGR POLYGONE RIVIERA,PROVENCE-ALPES-COTE D'AZUR,AVENUE DES ALPES,06027,Cagnes-sur-Mer,52575,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,10,1728,53,19583,406534,435009,-6.5,De 300 à 450 000 entrées,CGR,NON,NON,,FIXE,OUI,B,276,187,182,34.4,46.7,16.7,2.2,44,9.8,4.7,43.661565,7.1357
4,81673,LE QUERCY,OCCITANIE,871 RUE EMILE ZOLA,46042,Cahors,21081,46,46401,Cahors,25571,05-Unités urbaines de 20 000 à 100 000 hbts,1,360,28,38,3627,6364,-43.0,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,C,20,7,0,34.2,26.6,25.5,13.7,16,84.8,87.0,44.447834,1.439163
5,82133,L'ALHAMBRA,HAUTS DE FRANCE,2 RUE JEAN JAURÈS,62193,Calais,68193,62,62503,Calais,93524,05-Unités urbaines de 20 000 à 100 000 hbts,4,498,53,4913,57887,55074,5.1,De 50 à 80 000 entrées,,OUI,B,RDJPPR,FIXE,NON,C,406,223,55,46.8,28.8,20.1,4.3,312,78.3,56.9,50.9517558,1.8543260999999802
3,82392,CINEMA D ARGOAT,BRETAGNE,4 RUE DU CLEUMEUR,22025,Callac,2263,22,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,148,51,632,9664,9675,-0.1,De 5 à 10 000 entrées,,OUI,E,JPPR,FIXE,NON,R,333,252,0,59.5,18.4,16.0,6.1,226,58.3,49.4,48.404288,-3.427185
6,82603,SALLE MELIES,AUVERGNE / RHONE-ALPES,67 CHEMIN DE VASSIEUX,69034,Caluire-et-Cuire,43929,69,00760,Lyon,1714833,04-Unités urbaines de 100 000 hbts ou plus,1,267,48,714,32873,28590,15.0,De 30 à 40 000 entrées,,OUI,C,,FIXE,NON,B,217,148,1,71.6,11.4,13.5,3.4,154,67.1,61.9,45.797955,4.866922
4,82741,LE TEMPLE,OCCITANIE,RUE DU BARRY,12044,Camarès,1055,12,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,172,47,149,3288,2408,36.5,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,R,49,41,0,85.8,5.8,3.0,5.3,17,31.0,26.2,43.824209,2.878911
7,82752,SALLE POLYVALENTE,PROVENCE-ALPES-COTE D'AZUR,SALLE POLYVALENTE,84029,Camaret-sur-Aigues,4636,84,84202,Camaret-sur-Aigues,5361,06-autres communes et unités urbaines,1,,51,351,11885,11358,4.6,De 10 à 20 000 entrées,,OUI,E,JP,ITINERANT,NON,C,138,94,1,70.1,18.1,10.1,1.7,89,57.5,52.7,44.162816,4.889682
3,82762,ROCAMADOUR,BRETAGNE,RUE DU ROZ,29022,Camaret-sur-Mer,2516,29,29106,Camaret-sur-Mer,2516,06-autres communes et unités urbaines,1,200,53,559,14717,15035,-2.1,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,I,185,155,14,63.7,25.0,9.0,2.3,87,32.7,23.2,48.27416,-4.599116
4,82961,L'AIGLON,NOUVELLE AQUITAINE,RUE ANNE DE NEUBOURG,64160,Cambo-les-Bains,6731,64,00751,Bayonne (partie française),267184,04-Unités urbaines de 100 000 hbts ou plus,1,110,52,940,28694,23707,21.0,De 20 à 30 000 entrées,,OUI,E,JP,FIXE,NON,I,286,223,28,71.2,12.7,13.1,2.9,158,43.9,37.4,43.35874,-1.397218
5,83071,LE PALACE,HAUTS DE FRANCE,17 RUE ML DE LATTRE DE TASSIGNY,59122,Cambrai,32128,59,59403,Cambrai,46637,05-Unités urbaines de 20 000 à 100 000 hbts,5,605,53,8783,183777,175787,4.5,De 150 à 200 000 entrées,,NON,NON,,FIXE,NON,C,265,179,129,41.5,41.2,15.7,1.6,104,13.5,10.0,50.174792,3.236568
3,83601,VICTORIA,PAYS DE LA LOIRE,RUE SAINT VICTOR,44025,Campbon,4016,44,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,500,52,311,6810,7436,-8.4,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,R,154,124,1,64.9,22.2,12.0,0.9,73,41.7,41.1,47.41167,-1.965724
3,84292,DUGUESCLIN,BRETAGNE,5 IMPASSE ST MEEN,35049,Cancale,5405,35,35202,Cancale,5405,06-autres communes et unités urbaines,1,228,53,342,14568,15769,-7.6,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,I,190,157,2,72.1,11.5,11.8,4.6,125,60.4,56.2,48.676977,-1.85005
3,84382,CINEMA LE BEAULIEU,PAYS DE LA LOIRE,ROUTE D'INGRANDES,49054,Candé,2870,49,49106,Candé,2870,06-autres communes et unités urbaines,1,142,53,386,4874,3818,27.7,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,I,176,151,0,63.3,21.2,14.7,0.8,71,34.5,20.5,47.551609,-1.038715
4,84441,CENTRE SIMONE SIGNORET,NOUVELLE AQUITAINE,CHEMIN DU CASSIOT,33090,Canéjan,6074,33,33701,Bordeaux,1008323,04-Unités urbaines de 100 000 hbts ou plus,1,383,39,155,7162,6999,2.3,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,96,75,1,75.2,13.4,10.9,0.5,56,54.2,52.5,44.761134,-0.654322
7,84556,Clap Ciné,OCCITANIE,COLLINE DES LOISIRS,66037,Canet-en-Roussillon,12916,66,66301,Canet-en-Roussillon,12916,06-autres communes et unités urbaines,4,501,53,5623,105453,91219,15.6,De 100 à 150 000 entrées,,OUI,E,RDJPPR,FIXE,NON,I,342,252,137,55.0,30.5,13.3,1.2,207,32.5,19.9,42.701936,3.019408
7,84711,OLYMPIA,PROVENCE-ALPES-COTE D'AZUR,5 RUE D ANTIBES,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,4,727,53,6562,79975,82512,-3.1,De 50 à 80 000 entrées,,NON,NON,,FIXE,NON,B,190,139,95,41.5,41.5,15.8,1.2,54,12.6,10.9,43.552366,7.016598
7,84712,ARCADES,PROVENCE-ALPES-COTE D'AZUR,77 RUE FELIX FAURE,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,3,453,52,4337,73833,80757,-8.6,De 50 à 80 000 entrées,,OUI,C,JP,FIXE,NON,B,283,170,148,60.8,13.3,21.2,4.8,238,89.3,89.3,43.552517,7.015358
7,84734,C'PICAUD (ex studio13),PROVENCE-ALPES-COTE D'AZUR,23 AV DU DOCTEUR PICAUD,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,2,300,15,37,775,1344,-42.3,Moins de 2000 entrées,,NON,NON,,FIXE,NON,B,24,11,0,63.2,23.6,0.0,13.2,15,43.2,46.8,43.550716,7.001343
7,84745,SALLE RAIMU,PROVENCE-ALPES-COTE D'AZUR,AVENUE DE LA BORDE,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,177,41,277,7638,7328,4.2,De 5 à 10 000 entrées,,OUI,C,,FIXE,NON,B,136,106,0,61.1,21.5,12.0,5.4,102,74.6,79.5,43.567121,6.963836
7,84761,OLYMPIA 5 A 9,PROVENCE-ALPES-COTE D'AZUR,5 RUE D ANTIBES,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,5,469,53,8231,56363,66649,-15.4,De 50 à 80 000 entrées,,NON,NON,,FIXE,NON,B,226,163,126,47.7,37.6,11.9,2.8,62,13.3,11.7,43.552366,7.016598
7,84774,PROSPER MERIMEE,PROVENCE-ALPES-COTE D'AZUR,25 AVENUE FRANCIS TOMER,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,432,21,58,7724,7893,-2.1,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,54,6,0,73.6,10.4,11.3,4.8,45,84.2,87.8,43.54938,6.981931
7,84781,MIRAMAR,PROVENCE-ALPES-COTE D'AZUR,RUE PASTEUR - ANGLE CROISETTE,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,370,37,86,12906,11829,9.1,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,B,77,20,0,66.7,15.4,9.5,8.4,56,72.6,70.1,43.550134,7.029043
7,84782,ALEXANDRE III,PROVENCE-ALPES-COTE D'AZUR,19 BD ALEXANDRE III,06029,Cannes,73159,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,176,23,33,4338,4103,5.7,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,B,29,2,0,84.3,8.4,3.5,3.8,23,81.8,86.1,43.546541,7.036474
7,84830,CANNET TOILES,PROVENCE-ALPES-COTE D'AZUR,1 RUE VICTORIEN SARDOU,06030,Le Cannet,42524,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,80,53,706,13484,13350,1.0,De 10 à 20 000 entrées,,OUI,C,,FIXE,NON,B,223,183,1,62.9,19.4,12.3,5.4,149,64.7,57.6,43.576083,7.017663
